Reporte de Detección de Vehículos

ID: 4094, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 40.59%, Fecha/Hora: 2025-01-12 10:27:31.906010, Tiempo: 0.337791s
ID: 4095, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 34.73%, Fecha/Hora: 2025-01-12 10:27:31.908008, Tiempo: 0.337791s
ID: 4096, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: automovil, Confianza: 97.63%, Fecha/Hora: 2025-01-12 10:55:30.883375, Tiempo: 0.177397s
ID: 4097, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: camion, Confianza: 97.63%, Fecha/Hora: 2025-01-12 10:55:30.885374, Tiempo: 0.177397s
ID: 4098, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: automovil, Confianza: 86.66%, Fecha/Hora: 2025-01-12 10:55:30.887373, Tiempo: 0.177397s
ID: 4099, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: automovil, Confianza: 97.63%, Fecha/Hora: 2025-01-12 10:55:31.065263, Tiempo: 0.359285s
ID: 4100, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: camion, Confianza: 97.63%, Fecha/Hora: 2025-01-12 10:55:31.067262, Tiempo: 0.359285s
ID: 4101, Nombre: lluvia14.jpeg, Ubicación: uploads\lluvia14.jpeg, Tipo: automovil, Confianza: 86.66%, Fecha/Hora: 2025-01-12 10:55:31.069260, Tiempo: 0.359285s
ID: 4102, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 96.76%, Fecha/Hora: 2025-01-12 10:55:50.893913, Tiempo: 0.138914s
ID: 4103, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 92.23%, Fecha/Hora: 2025-01-12 10:55:50.895912, Tiempo: 0.138914s
ID: 4104, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 90.61%, Fecha/Hora: 2025-01-12 10:55:50.897911, Tiempo: 0.138914s
ID: 4105, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 80.00%, Fecha/Hora: 2025-01-12 10:55:50.899909, Tiempo: 0.138914s
ID: 4106, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 72.97%, Fecha/Hora: 2025-01-12 10:55:50.900909, Tiempo: 0.138914s
ID: 4107, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 96.76%, Fecha/Hora: 2025-01-12 10:55:51.064808, Tiempo: 0.308809s
ID: 4108, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 92.23%, Fecha/Hora: 2025-01-12 10:55:51.066807, Tiempo: 0.308809s
ID: 4109, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 90.61%, Fecha/Hora: 2025-01-12 10:55:51.068805, Tiempo: 0.308809s
ID: 4110, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 80.00%, Fecha/Hora: 2025-01-12 10:55:51.069804, Tiempo: 0.308809s
